id,title,company,location,url,source,company_type,fit_score,apply_flag,posted_date,status,applied_at,notes
matta_ai_chief_of_staff_2025_12_15,Chief of Staff,Matta.AI,,,manual_import,ai-startup,,0,2025-12-15,no_reply,2025-12-15,
bt_group_senior_manager__portfolio_strategic_initiatives_2026_01_08,"Senior Manager, Portfolio Strategic Initiatives",BT Group,,,manual_import,big-finance,,0,2026-01-08,rejected_interview,,Round 3 — case study — Bypassed recruiter and team screen via networking. Lost on case: financial uplift was missing. Timing also flagged as too early.
skild_ai_tbd__summer_intern__2026_01_01,TBD (Summer Intern),Skild AI,,,manual_import,ai-startup,,0,2026-01-01,no_reply,2026-01-01,
mastercard_product_innovation_manager__r_259893__2026_01_14,Product Innovation Manager (R-259893),Mastercard,,,manual_import,big-finance,,0,2026-01-14,no_reply,2026-01-14,
luminance_product_manager_2026_01_14,Product Manager,Luminance,,,manual_import,startup,,0,2026-01-14,no_reply,2026-01-14,
burns_sheehan_senior_product_manager_2026_01_14,Senior Product Manager,Burns Sheehan,,,manual_import,recruiter,,0,2026-01-14,no_reply,2026-01-14,
la_fosse_senior_product_manager_2026_01_14,Senior Product Manager,La Fosse,,,manual_import,recruiter,,0,2026-01-14,no_reply,2026-01-14,
salt_revops___strategy_manager_2026_01_14,RevOps & Strategy Manager,Salt,,,manual_import,startup,,0,2026-01-14,no_reply,2026-01-14,
pump_co_technical_product_manager_2026_01_14,Technical Product Manager,Pump.co,,,manual_import,startup,,0,2026-01-14,no_reply,2026-01-14,
governr_chief_of_staff_2026_01_14,Chief of Staff,Governr,,,manual_import,ai-startup,,0,2026-01-14,no_reply,2026-01-14,
dartmouth_partners_senior_strategy_manager_2026_01_14,Senior Strategy Manager,Dartmouth Partners,,,manual_import,vc-firm,,0,2026-01-14,no_reply,2026-01-14,
flamapp_ai_chief_of_staff_2026_01_14,Chief of Staff,Flamapp.ai,,,manual_import,ai-startup,,0,2026-01-14,rejected_early,,"Post-application — Needed immediate hire. Timing mismatch, not a fit or skill issue."
aui_product_manager_2026_01_14,Product Manager,AUI,,,manual_import,ai-startup,,0,2026-01-14,no_reply,2026-01-14,
squad_strategic_initiatives___ops_manager_2026_01_16,Strategic Initiatives & Ops Manager,Squad,,,manual_import,startup,,0,2026-01-16,no_reply,2026-01-16,
swap_revenue_strategy___operations_manager_2026_01_16,Revenue Strategy & Operations Manager,Swap,,,manual_import,startup,,0,2026-01-16,no_reply,2026-01-16,
google_associate_manager__product_strategy_and_ops_2026_01_16,"Associate Manager, Product Strategy and Ops",Google,,,manual_import,big-tech,,0,2026-01-16,no_reply,2026-01-16,
microsoft_business_program_management___mba_2026_01_18,Business Program Management - MBA,Microsoft,,,manual_import,big-tech,,0,2026-01-18,no_reply,2026-01-18,
